ligand_id,on_bits,count
protein:ZINC000065293174,53	83	84	157	211	349	464	542	592	598	604	615	651	668	727	764	807	820	826	882	911	926	931	1020	1024	1058	1095	1158	1164	1210	1211	1215	1218	1261	1303	1327	1380	1412	1423	1424	1471	1543	1561	1602	1629	1653	1719	1837	1882	1899	1912	2042	2067	2093	2141	2201	2210	2230	2254	2319	2352	2422	2433	2487	2535	2537	2557	2562	2565	2635	2643	2664	2755	2788	2793	2879	2899	2914	3015	3021	3109	3111	3117	3126	3161	3210	3213	3246	3266	3299	3395	3465	3491	3582	3620	3707	3722	3747	3752	3827	3887	3896	3908	3937	4047	4048	4056	4062,1	2	3	26	1	2	5	2	35	2	2	2	1	3	1	3	5	1	1	53	25	2	2	7	3	1	1	1	36	36	12	2	3	1	6	2	1	1	53	1	1	1	1	1	3	3	3	39	1	6	1	3	14	2	39	1	2	9	38	1	1	23	5	9	46	1	1	1	1	3	1	1	1	2	2	36	1	1	1	2	32	7	4	2	1	3	1	1	14	3	6	3	36	2	1	2	4	1	1	1	1	38	3	2	3	2	4	35
protein:ZINC000343043015,83	84	157	211	349	423	542	581	592	598	604	615	629	651	668	688	727	753	764	807	820	882	911	926	931	988	1020	1024	1095	1164	1210	1211	1215	1218	1261	1303	1327	1380	1412	1423	1424	1471	1492	1543	1561	1629	1653	1719	1837	1899	1911	1912	2042	2067	2093	2115	2141	2210	2230	2254	2311	2319	2352	2422	2433	2487	2535	2537	2565	2635	2664	2755	2763	2788	2793	2879	2914	2937	3015	3021	3095	3109	3111	3117	3126	3161	3210	3266	3299	3318	3395	3465	3491	3582	3687	3707	3722	3887	3896	3908	3937	4047	4048	4056	4062,2	3	25	1	2	1	2	1	35	2	2	2	1	1	3	1	1	1	3	5	1	49	19	2	2	1	4	4	1	33	34	8	2	2	2	5	2	1	2	49	1	1	1	1	1	3	2	3	37	2	1	1	3	14	1	1	37	3	9	36	1	1	1	15	5	9	40	1	1	3	1	1	1	3	2	34	1	1	1	2	1	30	4	4	3	1	3	14	3	1	5	3	33	2	1	1	4	1	36	4	2	3	3	2	35
protein:ZINC000012442563,83	84	157	187	211	273	306	349	414	520	542	592	598	604	615	651	668	705	727	764	807	820	856	882	911	926	931	1020	1024	1058	1095	1164	1210	1211	1215	1218	1261	1303	1327	1334	1412	1423	1424	1471	1543	1561	1629	1653	1719	1837	1904	1912	2042	2062	2067	2077	2093	2135	2141	2210	2230	2254	2352	2367	2422	2433	2487	2535	2537	2555	2635	2657	2664	2733	2763	2765	2788	2793	2879	2894	2914	2937	3015	3021	3072	3109	3111	3117	3126	3161	3194	3210	3257	3266	3299	3374	3395	3431	3465	3491	3582	3642	3660	3683	3707	3722	3762	3841	3887	3896	3908	3937	4003	4047	4048	4056	4062,2	4	28	1	1	1	1	1	1	2	1	45	2	1	2	3	3	1	1	4	5	1	1	53	20	2	1	5	5	1	2	38	37	9	3	2	3	9	2	1	1	53	1	1	1	1	4	2	2	42	2	1	2	1	18	1	2	2	42	3	9	41	1	1	16	5	9	44	1	1	4	1	1	1	1	1	3	3	37	1	1	2	1	2	1	32	5	5	3	1	3	4	1	18	2	1	9	1	2	38	3	1	1	2	2	5	1	1	1	41	5	3	1	4	3	3	45
protein:ZINC000096459890,83	84	155	157	177	185	187	211	273	349	414	534	541	542	543	592	598	604	615	651	668	727	764	807	815	820	882	911	924	926	931	1001	1020	1024	1058	1095	1164	1210	1211	1215	1218	1261	1303	1327	1412	1423	1424	1471	1543	1561	1629	1632	1653	1719	1837	1904	1912	2042	2062	2067	2077	2093	2141	2181	2210	2230	2250	2254	2259	2302	2319	2352	2410	2422	2433	2487	2535	2537	2550	2553	2565	2635	2664	2741	2757	2788	2793	2879	2914	3015	3021	3072	3076	3083	3109	3111	3117	3126	3132	3161	3194	3210	3266	3299	3395	3465	3491	3562	3582	3634	3642	3707	3722	3896	3908	3937	4047	4048	4056	4062,2	4	1	28	1	1	1	1	1	2	1	1	1	2	1	35	2	2	2	2	3	1	3	5	1	1	51	19	1	2	2	1	5	5	1	1	36	35	9	2	2	3	9	2	1	51	1	1	1	1	3	1	2	3	41	2	1	3	1	14	1	2	41	1	4	9	1	40	1	1	1	2	1	17	5	9	42	1	1	1	1	3	1	1	1	4	2	35	1	1	2	1	1	1	33	5	4	4	1	2	3	4	14	3	9	3	36	1	2	1	1	2	4	40	5	2	3	4	3	35
protein:ZINC000575033470,83	84	157	187	211	273	313	349	414	464	542	572	592	598	604	615	668	696	727	764	784	807	820	856	882	911	924	926	931	979	1020	1024	1054	1058	1065	1070	1095	1164	1210	1211	1215	1218	1303	1327	1334	1412	1423	1424	1425	1471	1543	1561	1629	1653	1719	1837	1899	1904	1912	2042	2062	2067	2077	2093	2141	2209	2210	2230	2254	2319	2352	2422	2433	2487	2535	2537	2565	2635	2674	2706	2763	2788	2793	2879	2914	3015	3021	3072	3085	3095	3109	3111	3117	3126	3132	3161	3194	3210	3266	3295	3299	3395	3465	3483	3491	3582	3642	3707	3722	3746	3756	3889	3896	3908	3937	4047	4048	4056	4062,1	4	27	1	1	1	1	1	1	4	1	1	34	3	1	3	3	1	1	3	1	2	1	1	48	27	1	1	1	1	7	3	1	1	1	1	1	34	33	13	2	2	6	3	1	1	48	1	1	1	1	1	2	5	1	38	5	2	1	3	1	15	1	2	38	1	3	6	37	1	1	25	2	6	45	1	1	2	2	1	1	3	2	33	1	1	3	1	1	1	29	7	5	3	1	1	3	4	15	1	3	6	1	1	34	2	1	2	4	1	1	1	37	3	2	2	3	6	34
