ligand_id,on_bits,count
protein:ZINC000096459890,83	84	87	135	157	177	187	211	247	273	349	407	414	513	520	534	541	542	543	547	559	592	598	604	615	645	668	714	744	764	794	807	815	820	882	911	926	931	1001	1020	1058	1095	1164	1170	1210	1211	1215	1218	1261	1327	1412	1423	1543	1561	1629	1632	1653	1719	1773	1837	1900	1904	1912	2042	2062	2067	2077	2093	2104	2126	2141	2154	2172	2181	2210	2230	2250	2254	2259	2302	2319	2352	2380	2381	2422	2433	2487	2535	2537	2549	2553	2609	2635	2664	2717	2724	2731	2735	2741	2757	2758	2788	2793	2849	2879	2914	2950	2993	3015	3021	3072	3076	3083	3109	3111	3117	3126	3132	3194	3210	3250	3266	3299	3395	3465	3491	3499	3562	3582	3634	3642	3645	3707	3722	3798	3896	3908	3937	3974	4047	4048	4056	4062,2	4	1	1	27	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	35	2	2	2	1	3	1	1	3	1	5	1	1	51	19	2	2	1	5	1	1	36	1	35	9	2	2	3	2	1	51	1	1	3	1	2	3	2	41	1	2	1	3	1	14	1	2	1	1	41	1	1	1	4	9	1	40	1	1	1	2	1	1	14	5	7	42	1	1	1	1	3	1	1	1	1	1	1	1	1	4	2	1	35	1	1	1	1	2	1	1	1	33	5	4	4	1	3	4	1	14	3	9	3	36	1	1	2	1	1	1	2	4	1	39	5	2	1	3	4	3	32
protein:ZINC000575033470,8	13	56	83	84	157	187	200	203	211	273	313	336	349	350	414	531	542	544	557	592	598	604	615	641	668	728	764	769	784	807	809	820	829	856	882	911	926	931	979	1020	1058	1065	1077	1095	1110	1164	1210	1211	1215	1218	1219	1260	1327	1362	1412	1423	1425	1543	1561	1629	1653	1719	1808	1837	1867	1899	1904	1912	1963	2025	2042	2062	2067	2077	2093	2134	2141	2209	2210	2230	2254	2285	2319	2352	2409	2422	2431	2433	2442	2487	2535	2537	2546	2609	2635	2674	2706	2763	2788	2793	2840	2879	2892	2914	3015	3021	3072	3085	3095	3109	3111	3117	3126	3132	3194	3210	3229	3250	3266	3277	3295	3299	3395	3430	3449	3465	3483	3491	3497	3582	3642	3658	3707	3722	3746	3756	3812	3813	3830	3874	3889	3891	3896	3908	3937	4047	4048	4056	4062,1	1	1	1	4	23	1	1	1	1	1	1	1	1	1	1	1	1	1	1	34	3	1	3	1	2	1	3	1	1	2	1	1	1	1	48	27	1	1	1	7	1	1	1	1	1	33	33	12	2	2	1	1	3	1	1	48	1	1	1	2	5	1	1	38	1	5	2	1	1	1	3	1	15	1	2	1	37	1	3	6	37	1	1	1	1	23	1	2	1	5	45	1	1	1	2	2	1	1	2	2	1	31	1	1	1	3	1	1	1	29	7	5	3	1	3	4	1	1	15	1	1	2	6	2	1	1	1	34	1	2	1	1	2	4	1	1	1	1	1	1	1	1	35	3	2	2	3	6	33
protein:ZINC000343043015,3	36	83	84	157	180	211	243	349	389	423	542	547	573	592	596	598	604	615	629	668	688	753	764	797	807	820	882	911	919	926	931	962	988	1012	1020	1095	1164	1210	1211	1213	1215	1218	1261	1300	1327	1380	1394	1412	1423	1424	1492	1543	1561	1629	1653	1719	1773	1837	1899	1912	2042	2052	2067	2093	2115	2138	2141	2149	2210	2230	2254	2311	2319	2346	2352	2422	2427	2433	2453	2487	2535	2537	2625	2635	2654	2664	2755	2758	2763	2788	2793	2879	2914	2924	2937	3015	3021	3095	3109	3111	3117	3126	3185	3210	3266	3299	3318	3395	3431	3465	3482	3491	3513	3516	3582	3707	3722	3887	3896	3908	3937	3999	4047	4048	4056	4062,1	1	2	3	25	2	1	1	2	1	1	2	1	1	35	1	2	2	2	1	3	1	1	3	1	5	1	49	19	1	2	2	1	1	1	4	1	33	34	8	1	2	1	2	1	2	1	1	1	49	1	1	1	1	3	2	3	1	37	2	1	3	1	14	1	1	1	37	1	3	9	36	1	1	1	1	12	2	5	1	7	40	1	1	3	1	1	1	2	1	1	2	33	1	1	1	1	2	1	30	4	4	3	1	3	14	3	1	5	1	3	2	33	1	1	2	1	4	1	34	4	2	1	3	3	2	33
protein:ZINC000012442563,83	84	87	135	157	180	187	211	273	306	349	414	520	542	592	598	604	615	668	705	764	807	820	882	911	926	931	1020	1058	1095	1164	1189	1210	1211	1215	1218	1226	1261	1327	1337	1392	1394	1412	1423	1471	1501	1543	1561	1590	1629	1653	1668	1694	1719	1740	1773	1837	1901	1904	1912	1928	2042	2062	2067	2077	2093	2135	2141	2210	2230	2254	2352	2422	2433	2441	2453	2455	2487	2535	2537	2593	2609	2635	2657	2664	2696	2733	2758	2763	2769	2788	2793	2798	2879	2894	2914	2937	3015	3021	3072	3107	3109	3111	3117	3126	3148	3155	3163	3194	3210	3257	3266	3276	3280	3299	3395	3431	3465	3482	3491	3513	3582	3642	3658	3682	3683	3702	3707	3722	3762	3820	3823	3871	3887	3896	3908	3937	4003	4007	4021	4035	4047	4048	4056	4062,2	4	1	1	27	1	1	1	1	1	1	1	1	1	45	2	1	2	3	2	4	5	1	53	20	2	1	5	1	2	38	1	37	9	3	2	1	3	2	1	1	1	1	53	1	1	1	1	1	4	2	1	1	2	1	1	42	1	2	1	2	2	1	18	2	2	2	42	3	9	41	1	13	5	1	1	1	7	44	1	1	3	4	1	1	1	1	2	1	1	1	3	2	37	1	1	2	1	2	1	1	32	5	5	3	1	1	1	3	4	1	18	1	1	2	9	1	2	1	38	1	3	1	1	1	1	1	2	5	1	1	1	1	1	39	5	3	1	1	1	1	4	3	3	39
protein:ZINC000065293174,53	83	84	157	211	349	445	488	513	542	558	592	598	604	615	641	668	764	807	820	826	838	882	890	911	926	931	962	991	1020	1058	1095	1134	1143	1158	1164	1187	1210	1211	1215	1218	1261	1304	1327	1380	1412	1423	1424	1471	1493	1543	1561	1562	1629	1653	1719	1773	1837	1882	1899	1912	2013	2042	2067	2093	2134	2141	2210	2230	2254	2319	2352	2422	2433	2453	2487	2535	2537	2635	2643	2664	2755	2758	2788	2793	2869	2879	2899	2914	2988	3015	3021	3105	3109	3111	3117	3126	3210	3246	3266	3276	3280	3299	3329	3363	3395	3465	3472	3491	3508	3570	3582	3599	3679	3707	3722	3747	3752	3827	3885	3887	3896	3908	3937	4047	4048	4056	4062	4063,1	2	3	25	1	2	1	2	1	2	1	36	2	2	2	1	2	3	5	1	1	1	53	1	25	2	2	1	1	7	1	1	1	1	1	36	1	36	12	2	1	1	1	2	1	1	53	1	1	1	1	1	1	3	3	3	1	39	1	6	2	1	3	14	2	1	39	2	9	38	1	1	22	5	1	7	46	1	3	1	1	1	3	1	2	1	36	1	1	1	1	2	1	31	7	4	2	3	1	14	1	1	3	1	1	6	3	1	36	1	1	2	1	1	2	4	1	1	1	1	1	37	3	2	3	2	4	33	1
